,DEPARTAMENTO,PROVINCIA,DISTRITO,CENTRO POBLADO,LATITUD,LONGITUD,VIVIENDAS,POBLACIÓN,RANGO_POB
3681,MOQUEGUA,GENERAL SANCHEZ CERRO,LLOQUE,LLOQUE,-16.323852,-70.738557,112,299,1000
3682,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,SANTA CRUZ DE OYO OYO (SANTA CRUZ),-16.154283,-70.578703,77,251,1000
3683,MOQUEGUA,MARISCAL NIETO,CARUMAS,SOMOA,-16.826877,-70.683602,101,205,1000
3684,MOQUEGUA,GENERAL SANCHEZ CERRO,MATALAQUE,MATALAQUE,-16.481234,-70.826598,81,186,1000
3685,MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS,TASSA,-16.181502,-70.698279,67,152,1000
3686,MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS,SACOHAYA,-16.403802,-70.874521,59,148,1000
3687,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,MAYCUNACA,-16.145988,-70.602117,56,142,1000
3688,MOQUEGUA,GENERAL SANCHEZ CERRO,MATALAQUE,CANDAHUA,-16.535292,-70.808997,51,90,100
3689,MOQUEGUA,MARISCAL NIETO,CUCHUMBAYA,YOJO,-16.766687,-70.722503,49,84,100
3690,MOQUEGUA,GENERAL SANCHEZ CERRO,COALAQUE,EL ESTANQUE,-16.642875,-71.036878,32,81,100
3691,MOQUEGUA,MARISCAL NIETO,CUCHUMBAYA,SOQUESANE,-16.787234,-70.667805,36,73,100
3692,MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS,PACHAMAYO,-16.170838,-70.68658,24,65,100
3693,MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS,TAHUACA (SAN MIGUEL NUEVO),-16.416167,-70.833293,36,62,100
3694,MOQUEGUA,GENERAL SANCHEZ CERRO,COALAQUE,BELLAVISTA,-16.645737,-71.036722,24,57,100
3695,MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS,SAN CRISTOBAL DE TORATA,-16.350992,-70.74353,24,57,100
3696,MOQUEGUA,MARISCAL NIETO,TORATA,LA PASCANA,-17.083195,-70.851823,19,54,100
3697,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,OASIS,-17.221979,-70.936121,25,50,100
3698,MOQUEGUA,MARISCAL NIETO,CUCHUMBAYA,QUEBAYA,-16.749412,-70.678552,26,38,100
3699,MOQUEGUA,MARISCAL NIETO,SAMEGUA,PULPITO,-17.156327,-70.864967,14,37,100
3700,MOQUEGUA,MARISCAL NIETO,TORATA,CRUZ PATA,-17.090675,-70.850327,20,35,100
3701,MOQUEGUA,MARISCAL NIETO,TORATA,ALEGOMA,-17.08677,-70.876587,16,35,100
3702,MOQUEGUA,GENERAL SANCHEZ CERRO,MATALAQUE,HUARINA,-16.444942,-70.81691,19,35,100
3703,MOQUEGUA,MARISCAL NIETO,CUCHUMBAYA,HUATALAQUE,-16.751332,-70.718358,20,30,100
3704,MOQUEGUA,GENERAL SANCHEZ CERRO,OMATE,TAMAÑA,-16.646173,-70.985907,14,30,100
3705,MOQUEGUA,MARISCAL NIETO,SAMEGUA,BUENA VISTA,-17.153221,-70.860652,14,29,100
3706,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,ALTO LA VILLA,-17.181123,-70.927184,10,17,100
3707,MOQUEGUA,GENERAL SANCHEZ CERRO,OMATE,LA BANDA,-16.647977,-70.98783,8,16,100
3708,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,CONDEZA ALTA,-17.217489,-70.962353,13,15,100
3709,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,MONTALVO,-17.212077,-70.96557,5,14,100
3710,MOQUEGUA,MARISCAL NIETO,SAMEGUA,PAMPA COLORADA,-17.157738,-70.8564,6,11,100
3711,MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS,SANCAYA,-16.407381,-70.871661,6,10,100
3712,MOQUEGUA,MARISCAL NIETO,SAMEGUA,QUEBRADA MAMA ROSA,-17.154221,-70.859409,3,9,10
3713,MOQUEGUA,GENERAL SANCHEZ CERRO,COALAQUE,SANTA CRUZ,-16.641313,-71.048488,6,9,10
3714,MOQUEGUA,MARISCAL NIETO,SAMEGUA,ESCAPALAQUE,-17.1741,-70.89677,3,5,10
3715,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,VIRGEN DEL CARMEN,-17.219217,-70.953549,2,4,10
3716,MOQUEGUA,MARISCAL NIETO,SAMEGUA,SANCARA,-17.169983,-70.887604,2,3,10
3717,MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS,CIBAYA,-16.242755,-70.75018,3,3,10
3718,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,LOS LAURELES,-17.217132,-70.933582,2,2,10
3719,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,EDEN,-17.219129,-70.928292,1,2,10
3720,MOQUEGUA,GENERAL SANCHEZ CERRO,ICHUÑA,ICHUPAMPA,-16.15538,-70.572832,1,1,10
3721,MOQUEGUA,GENERAL SANCHEZ CERRO,LLOQUE,PORTILLO PUNCO,-16.328705,-70.732138,1,1,10
3722,MOQUEGUA,GENERAL SANCHEZ CERRO,MATALAQUE,VILLA CANDAHUA,-16.538407,-70.808628,1,1,10
3723,MOQUEGUA,MARISCAL NIETO,SAMEGUA,TUCUMAN,-17.171652,-70.894071,0,0,10
3724,MOQUEGUA,MARISCAL NIETO,SAMEGUA,BELEN DE SAMEGUA,-17.184157,-70.919704,0,0,10
3725,MOQUEGUA,GENERAL SANCHEZ CERRO,LLOQUE,HUMALIKE,-16.324417,-70.7311,0,0,10
3726,MOQUEGUA,GENERAL SANCHEZ CERRO,MATALAQUE,ESPERANZA,-16.448032,-70.815758,0,0,10
3727,MOQUEGUA,GENERAL SANCHEZ CERRO,UBINAS,SAN MIGUEL VIEJO,-16.414197,-70.83531,0,0,10
3728,PASCO,PASCO,HUARIACA,HUARIACA,-10.439098,-76.19156,1484,6175,10000
3729,PASCO,PASCO,PAUCARTAMBO,PAUCARTAMBO,-10.774451,-75.813279,1358,5144,10000
3730,PASCO,PASCO,NINACACA,NINACACA,-10.855532,-76.113142,666,2400,10000
3731,PASCO,DANIEL ALCIDES CARRION,TAPUC,TAPUC,-10.454631,-76.46249,508,1644,10000
3732,PASCO,PASCO,TICLACAYAN,TICLACAYAN,-10.535045,-76.164246,368,1212,10000
3733,PASCO,PASCO,PAUCARTAMBO,AUQUIMARCA,-10.749311,-75.709818,258,941,1000
3734,PASCO,PASCO,PAUCARTAMBO,HUALLAMAYO,-10.764303,-75.716052,230,776,1000
3735,PASCO,DANIEL ALCIDES CARRION,CHACAYAN,CHANGO,-10.415116,-76.411389,347,766,1000
3736,PASCO,PASCO,YANACANCHA,LA QUINUA,-10.615642,-76.181193,191,730,1000
3737,PASCO,PASCO,PAUCARTAMBO,BELLAVISTA,-10.80961,-75.872323,169,603,1000
3738,PASCO,PASCO,TICLACAYAN,PUCURHUAY,-10.509087,-76.129252,110,333,1000
3739,PASCO,OXAPAMPA,VILLA RICA,PUENTE PAUCARTAMBO (2B),-10.837838,-75.290257,103,326,1000
3740,PASCO,OXAPAMPA,VILLA RICA,PUENTE PAUCARTAMBO (2A),-10.838302,-75.289432,97,284,1000
3741,PASCO,PASCO,HUACHON,CHIPA,-10.647632,-75.94004,92,268,1000
3742,PASCO,OXAPAMPA,CHONTABAMBA,LA FLORIDA,-10.600128,-75.414435,80,224,1000
3743,PASCO,DANIEL ALCIDES CARRION,VILCABAMBA,SAN MIGUEL DE CUCHIS,-10.519122,-76.420032,109,213,1000
3744,PASCO,PASCO,HUACHON,SANTA ISABEL,-10.719018,-75.643642,64,198,1000
3745,PASCO,PASCO,YANACANCHA,PARIAMARCA,-10.647763,-76.164693,56,198,1000
3746,PASCO,PASCO,YANACANCHA,SANTA ROSA DE PITIC BAJA,-10.618797,-76.187251,49,175,1000
3747,PASCO,DANIEL ALCIDES CARRION,PAUCAR,PAUCALIN,-10.333945,-76.35638,55,162,1000
3748,PASCO,PASCO,PAUCARTAMBO,PAMPAMARCA CENTRAL,-10.723793,-75.644502,16,43,100
